12937,12784,12942,13122,13733,14226,14790,15078,15231,15224,15015,14859,14896,14652,14836,15311,15081,14946,14941,14804,15103,15144,14805,14755,13117,14523,14846,15066,15132,15198,14570,628,4.31%
1522,1503,3230,3629,2860,3304,3397,3381,3424,3825,3336,3541,3339,3352,3507,3716,3450,3538,3503,3488,3687,3684,3374,3633,3779,3641,3671,3670,3654,3700,3378,322,9.53%
3262,3259,3365,3294,3569,3260,3172,3116,3181,3443,3542,3504,3763,3002,3433,3327,3114,2813,2568,2566,3140,2559,2569,2404,3236,2507,2775,2233,2788,3557,3077,480,15.60%
2190,2251,2184,1973,2321,2274,2269,2395,2356,2323,2451,2596,2500,2586,2344,2437,2272,2237,2511,2149,2431,2133,2898,2521,3008,3031,3303,3410,3536,3569,2549,1020,40.02%
8853,9676,8759,9089,9042,9438,9196,8997,8740,8906,9273,9554,9168,9331,9575,9244,9292,9598,9418,9204,9570,9332,8833,9350,9091,9197,9253,9400,9392,9374,9238,136,1.47%
5378,5378,5382,5373,5379,5387,5332,5883,6023,6123,6040,5938,5644,5489,5352,5251,5702,5907,5545,5428,5335,5174,5425,5653,5802,5495,5614,5769,5950,6013,5605,408,7.28%
6283,5863,6004,6349,6146,6311,6633,6707,6954,7250,6781,6789,6737,6149,6236,6406,6385,6835,6692,6068,6173,6243,5976,6477,6834,6190,6587,7021,6815,7154,6502,652,10.03%
4345,4401,4647,4953,5564,5644,5362,5208,5517,6527,5183,5032,5284,4212,2991,2874,3518,4373,4620,4359,3712,4494,5651,5825,6330,6178,6297,5849,5612,6142,5023,1119,22.28%
7096,7024,7069,7034,7017,7093,7261,7199,7277,7259,7077,7028,7207,7068,7169,7158,7045,7121,7154,6983,7079,7088,6973,6964,6685,6907,6879,6942,7016,7011,7063,-52,-0.74%
5741,5866,5969,6290,6214,6322,6507,6283,6455,6705,6482,7132,7363,7059,7626,7615,7478,7833,7588,7325,7693,7271,7667,7969,7818,7625,7811,7851,7867,8196,7121,1075,15.10%
8608,8481,8570,8459,8185,8487,8453,8499,8466,8516,8453,8780,8812,8818,9176,9194,8973,9384,9384,8979,9289,9205,8972,9370,9147,8837,9208,8945,9031,9315,8867,448,5.05%
8398,8273,8130,8372,7844,7999,8052,8083,8384,9208,9111,9100,9504,9668,9318,9368,9780,9848,10145,9908,10108,10337,10510,10567,10752,10098,10590,10670,11022,11158,9477,1681,17.74%
13199,12663,12767,12875,12121,11240,10694,11869,12724,12477,13002,12894,14084,14662,14391,14072,14948,15216,15027,15323,16119,16185,16727,16654,16796,16899,16936,17158,17378,17676,14493,3183,21.96%
7971,7235,7282,6084,5167,5395,5366,6088,7172,7990,7860,8557,9674,9451,9761,10415,10045,11019,11301,11589,12461,12931,13249,13438,13228,13568,13785,13896,14226,14678,10029,4649,46.36%
6709,6061,5689,5141,4737,4733,4940,5536,5495,6641,7545,7806,8220,8162,8079,8545,8850,9136,9451,9467,10672,10752,10777,11037,10812,11056,11258,11566,11912,12708,8450,4258,50.39%
9010,8838,8822,9232,8675,8621,9109,8963,9086,9280,8910,8842,9564,9102,9091,9102,9169,9508,9608,9101,10015,10571,10543,10389,10834,10835,10836,11254,11402,11815,9671,2144,22.17%
3338,3910,4132,4008,3652,3836,4102,4703,5211,5528,5781,6068,7106,7603,7467,7901,7935,8004,8065,8108,8215,8337,8541,8589,8647,8759,8882,8903,8920,8930,6773,2157,31.85%
3710,3868,3826,4254,4293,3869,3820,4591,4277,4391,5312,5510,6659,6945,6916,7450,7254,7407,7674,7721,7801,8696,8887,9020,8815,8953,9107,9525,9919,10108,6686,3422,51.18%
1461,2057,1959,1699,1610,2132,2266,2568,2283,3191,3826,3787,4692,5315,5241,5433,5208,5407,5500,5443,5558,6254,6166,6142,6363,6325,6310,6522,6857,7159,4491,2668,59.41%
10926,11120,11016,10804,11059,10792,10690,10668,10838,10892,11121,11503,11354,11474,11318,11745,11758,11736,11992,12292,12705,12715,12694,12626,10962,12357,12738,12481,13389,13618,11713,1905,16.26%
13273,13530,13522,13484,12862,13205,13249,13393,13776,14391,14589,15109,15060,15734,15760,16323,16236,16496,16408,16598,16874,16821,17176,17020,17095,17156,17189,17226,17281,17260,15470,1790,11.57%
3128,3142,3124,3363,2999,3151,3388,3303,3267,3193,3528,3724,3649,3823,3856,4086,4115,4080,4394,4652,4655,4916,4977,4891,4988,5045,5012,5221,5323,5307,4077,1230,30.17%
3670,3500,3644,3459,3623,3681,3179,3703,3756,3791,3769,4167,3913,3790,3935,3974,4128,4032,4208,4390,5391,5428,4970,5717,5759,5953,5729,5989,6159,6117,4451,1666,37.43%
4527,4936,4877,4786,5273,4938,6026,5185,5859,5719,5701,5991,6080,6218,6054,6434,5717,6203,6253,5879,5623,6661,6138,5981,5959,5825,6032,5988,6065,6244,5772,472,8.18%
2895,3304,2427,2627,2399,2950,2198,2853,3016,2458,2426,2493,2435,3109,3814,3825,3859,4311,3647,3197,3527,3443,3342,3540,2856,3095,3964,3553,3145,3975,3156,819,25.95%
1555,998,1611,1998,1424,1109,1285,3509,1433,1739,1677,1314,1774,1523,2429,1943,1479,1810,2668,1902,2610,3793,2298,2927,3600,1775,1517,3961,2922,4064,2155,1909,88.58%
8629,9668,10028,8629,8554,8699,10944,9685,9433,10992,10255,11610,10854,10258,12158,11456,10256,11254,11896,10863,10258,10565,10930,10325,10287,10257,10236,11247,11576,12207,10467,1740,16.62%
3293,3323,3684,3943,4352,4339,4362,5110,5293,5878,6574,6717,7125,7195,7156,7135,7256,7265,7353,7685,7578,7455,7752,7798,7811,7856,7869,7901,7966,7969,6433,1536,23.88%
4483,4619,4731,4700,4738,4870,4938,4839,4971,4890,4955,5035,5072,5064,4920,5174,5100,5096,5136,5047,5110,5127,5060,5150,5227,5235,5256,5293,5198,5271,5010,261,5.21%
4071,3911,4125,4061,3925,4021,3999,3780,3839,3879,3693,3933,3811,3654,3956,3817,3751,4185,4112,3870,4319,4243,4306,4673,4686,4264,4425,4464,4449,4757,4099,658,16.05%
5878,6462,6563,6666,6756,7026,6972,7177,7797,7462,7452,8799,8778,8556,9605,10246,10091,10379,10633,10251,10641,10661,10712,10606,10700,10322,11370,10848,11012,11143,9052,2091,23.10%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1294,-1830,-1726,-1618,-2372,-3253,-3799,-2624,-1769,-2016,-1491,-1599,-409,169,-102,-421,455,723,534,830,1626,1692,2234,2161,2303,2406,2443,2665,2885,3183,Wulanwula,,
-2058,-2794,-2747,-3945,-4862,-4634,-4663,-3941,-2857,-2039,-2169,-1472,-355,-578,-268,386,16,990,1272,1560,2432,2902,3220,3409,3199,3539,3756,3867,4197,4649,Mingjing,,
-1668,-2316,-2688,-3236,-3640,-3644,-3437,-2841,-2882,-1736,-832,-571,-157,-215,-298,168,473,759,1074,1090,2295,2375,2400,2660,2435,2679,2808,3116,3535,4331,Xijir Ulan,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
